name, original time, optimized time, original size (byte), optimized size (byte), original minor, optimized minor, original major, optimized major, original promo, optimized promo
Ansi_lh,  16.63 ms,  15.78 ms,  85216,  327480,  14.16Mw,  13.70Mw,  297.95kw,  297.78kw,  297.95kw,  297.78kw
Atom_lh,  156.6 ms,  158.45 ms,  26920,  32952,  41.02Mw,  39.48Mw,  22.43Mw,  24.84Mw,  22.43Mw,  24.84Mw
Awards_lh,  31.84 ms,  30.22 ms,  37944,  49200,  30.13Mw,  28.64Mw,  488.35kw,  490.06kw,  488.35kw,  490.06kw
Banner_lh,  11.52 ms,  9.06 ms,  181352,  248720,  2.55Mw,  2.37Mw,  1.70Mw,  1.44Mw,  1.70Mw,  1.44Mw
Boyer2_lh,  35.59 ms,  35.22 ms,  1323672,  1496600,  7.69Mw,  7.68Mw,  1.06Mw,  1.06Mw,  1.06Mw,  1.06Mw
Boyer_lh,  52.31 ms,  51.78 ms,  83792,  113120,  24.39Mw,  23.96Mw,  5.67Mw,  5.65Mw,  5.67Mw,  5.65Mw
Calendar_lh,  12.36 ms,  11.23 ms,  55920,  114744,  8.82Mw,  8.39Mw,  366.59kw,  288.87kw,  366.59kw,  288.87kw
Cichelli_lh,  34.31 ms,  35.17 ms,  69920,  143888,  12.78Mw,  13.50Mw,  155.52kw,  154.20kw,  155.52kw,  154.20kw
Circsim_lh,  21.28 ms,  20.14 ms,  93472,  156680,  13.61Mw,  12.31Mw,  329.37kw,  300.39kw,  329.37kw,  300.39kw
Clausify_lh,  35.77 ms,  35.62 ms,  44344,  64536,  11.68Mw,  11.68Mw,  3.55Mw,  3.55Mw,  3.55Mw,  3.55Mw
Constraints_lh,  210.82 ms,  140.22 ms,  58544,  116520,  56.92Mw,  51.21Mw,  22.51Mw,  15.77Mw,  22.51Mw,  15.77Mw
Cryptarithm2_lh,  10.33 ms,  8.62 ms,  54368,  85920,  16.21Mw,  13.85Mw,  183.44kw,  126.94kw,  183.44kw,  126.94kw
Cryptarithm_lh,  13.79 s,  12.66 s,  13992,  15960,  326.30Mw,  325.93Mw,  200.74Mw,  200.77Mw,  200.74Mw,  200.77Mw
