test_name, run_time, unit, n95ci, p95ci, minor, major, promotion
original_Ansi_lh, 17.27, ms, -0.35, 0.37, 14.16Mw, 294.54kw, 294.54kw
fused_only_expanded_Ansi_lh, 17.16, ms, -0.38, 0.37, 14.16Mw, 297.42kw, 297.42kw
fused_Ansi_lh, 16.29, ms, -0.07, 0.08, 13.71Mw, 300.48kw, 300.48kw
fused_float_out_Ansi_lh, 16.3, ms, -0.06, 0.05, 13.71Mw, 301.49kw, 301.49kw
original_Atom_lh, 164.33, ms, -0.24, 0.24, 41.02Mw, 22.43Mw, 22.43Mw
fused_only_expanded_Atom_lh, 163.08, ms, -0.18, 0.19, 41.02Mw, 22.43Mw, 22.43Mw
fused_Atom_lh, 151.19, ms, -0.08, 0.09, 40.47Mw, 21.89Mw, 21.89Mw
fused_float_out_Atom_lh, 153.95, ms, -0.06, 0.04, 40.48Mw, 21.92Mw, 21.92Mw
original_Awards_lh, 33.22, ms, -0.1, 0.11, 30.25Mw, 489.12kw, 489.12kw
fused_only_expanded_Awards_lh, 33.14, ms, -0.11, 0.14, 30.25Mw, 489.12kw, 489.12kw
fused_Awards_lh, 32.15, ms, -0.36, 0.59, 29.76Mw, 478.81kw, 478.81kw
fused_float_out_Awards_lh, 31.83, ms, -0.47, 0.69, 28.75Mw, 490.08kw, 490.08kw
original_Banner_lh, 11.41, ms, -0.15, 0.17, 2.55Mw, 1.70Mw, 1.70Mw
fused_only_expanded_Banner_lh, 11.42, ms, -0.15, 0.16, 2.55Mw, 1.70Mw, 1.70Mw
fused_Banner_lh, 9.79, ms, -0.27, 0.28, 2.36Mw, 1.60Mw, 1.60Mw
fused_float_out_Banner_lh, 9.05, ms, -0.54, 0.56, 2.37Mw, 1.44Mw, 1.44Mw
original_Boyer2_lh, 35.93, ms, -0.13, 0.16, 7.69Mw, 1.06Mw, 1.06Mw
fused_only_expanded_Boyer2_lh, 35.84, ms, -0.13, 0.13, 7.69Mw, 1.06Mw, 1.06Mw
fused_Boyer2_lh, 35.75, ms, -0.15, 0.18, 7.69Mw, 1.06Mw, 1.06Mw
fused_float_out_Boyer2_lh, 35.74, ms, -0.09, 0.12, 7.69Mw, 1.06Mw, 1.06Mw
original_Boyer_lh, 53.05, ms, -0.17, 0.15, 24.39Mw, 5.67Mw, 5.67Mw
fused_only_expanded_Boyer_lh, 53.2, ms, -0.75, 1.13, 24.39Mw, 5.67Mw, 5.67Mw
fused_Boyer_lh, 52.46, ms, -0.19, 0.26, 23.96Mw, 5.65Mw, 5.65Mw
fused_float_out_Boyer_lh, 52.25, ms, -0.11, 0.11, 23.96Mw, 5.65Mw, 5.65Mw
original_Calendar_lh, 12.34, ms, -0.42, 0.42, 8.82Mw, 369.52kw, 369.52kw
fused_only_expanded_Calendar_lh, 12.19, ms, -0.43, 0.4, 8.82Mw, 364.72kw, 364.72kw
fused_Calendar_lh, 12.07, ms, -0.09, 0.11, 8.76Mw, 358.98kw, 358.98kw
